# Russell 1000 Ishares ETF (IWB) downloaded from https://www.barchart.com/stocks/quotes/IWB on 2020/10/29
Symbol,Name,Sector,Industry,Exchange,Options,"Market Cap [K$]",Volume,Price,Earnings,Price/Earnings,Dividend
CAH,"Cardinal Health",Medical,"Medical - Dental Suppliers",NYSE,Yes,13484389,1698100,45.96,5.45,8.71,0.486
CARR,"Carrier Global Corp [Carr/I]","Computers and Technology","Electronics Products - Misc",NYSE,Yes,28843292,6486200,33.30,0.68,0.00,0.080
CASY,"Casey's General Stor",Retail-Wholesale,"Retail - Convenience Stores",NASDAQ,Yes,6374411,207600,172.65,8.03,22.48,0.320
CAT,"Caterpillar Inc","Industrial Products","Machinery - Construct & Mining",NYSE,Yes,81854208,5645100,151.16,7.92,23.93,1.030
CB,"Chubb Ltd",Finance,"Insurance - Proprty & Casualty",NYSE,Yes,57513056,4252000,127.42,7.10,19.28,0.780
CBOE,"CBOE Global Markets Inc",Finance,"Securities Exchanges","NYSE Arca",Yes,8534241,1000800,78.47,5.46,14.89,0.420
CBRE,"CBRE Group Inc",Finance,"Real Estate Operations",NYSE,Yes,14725410,1858800,43.92,3.21,13.98,N/A
CBSH,"Commerce Bancshares",Finance,"Banks - Midwest",NASDAQ,Yes,6818012,575900,61.13,2.82,21.75,0.270
CBT,"Cabot Corp","Basic Materials","Chemical - Diversified",NYSE,Yes,2096999,220500,37.14,2.44,15.83,0.350
CC,"Chemours Company","Basic Materials","Chemical - Diversified",NYSE,Yes,3253595,1189400,19.81,2.04,10.01,0.250
CCI,"Crown Castle International Corp",Finance,"REIT - Equity Trust Other",NYSE,Yes,65824928,1743400,156.85,1.60,27.64,1.200
CCK,"Crown Cork & Seal Company","Industrial Products","Containers - Metal & Glass",NYSE,Yes,11553232,1024300,85.73,5.46,16.09,0.250
CCL,"Carnival Corp","Consumer Discretionary","Leisure & Recreation Services",NYSE,Yes,8862986,58953098,12.30,-4.65,0.00,0.500
CDAY,"Ceridian Hcm Holding Inc","Computers and Technology","Internet - Software",NYSE,Yes,13016684,763900,88.62,0.23,386.26,N/A
CDK,"Cdk Global Inc","Computers and Technology","IT Services",NASDAQ,Yes,5147261,834400,42.35,3.04,14.38,0.150
CDNS,"Cadence Design Sys","Computers and Technology","Computer - Software",NASDAQ,Yes,30024132,2006300,107.64,3.85,28.53,N/A
CDW,"CDW Corp","Computers and Technology","IT Services",NASDAQ,Yes,16939208,706800,118.73,6.23,19.79,0.380
CE,"Celanese Corp","Basic Materials","Chemical - Specialty",NYSE,Yes,13190630,872200,111.51,8.11,14.89,0.620
CERN,"Cerner Corp",Medical,"Medical Information Systems",NASDAQ,Yes,21572182,2916500,70.64,2.40,30.31,0.180
CF,"Cf Industries Holdings","Basic Materials",Fertilizers,NYSE,Yes,5498855,2833900,25.71,1.74,15.03,0.300
CFG,"Citizens Financial Group Inc/Ri",Finance,"Finance - Savings & Loan",NYSE,Yes,11046335,3804600,25.88,2.36,11.30,0.390
CFR,"Cullen/Frost Bankers",Finance,"Banks - Southwest",NYSE,Yes,4174633,511900,66.58,4.21,15.80,0.710
CFX,"Colfax Corp","Industrial Products","Machinery - General Industrial",NYSE,Yes,3355144,1131300,28.34,1.58,18.70,N/A
CG,"The Carlyle Group",Finance,"Finance - Investment Funds",NASDAQ,Yes,8773141,1110700,25.16,1.89,13.63,0.250
CGNX,"Cognex Cp","Computers and Technology","Electronic Test Equipment",NASDAQ,Yes,11270550,915700,65.13,0.81,82.35,0.055
CHD,"Church & Dwight Company","Consumer Staples","Soap and Cleaning Products",NYSE,Yes,21822810,1969600,88.24,2.81,32.82,0.240
CHE,"Chemed Inc",Medical,"Medical - Outpatient & Hm Care",NYSE,Yes,7524270,50200,472.66,15.77,30.71,0.340
CHGG,"Chegg Inc","Computers and Technology","Internet - Software",NYSE,Yes,9811534,2350100,76.17,0.55,151.20,N/A
CHH,"Choice Hotels International","Consumer Discretionary","Hotels & Motels",NYSE,Yes,4653429,301800,84.05,3.18,27.12,0.225
CHNG,"Change Healthcare Inc",Medical,"Medical Information Systems",NASDAQ,Yes,4290588,1259200,14.10,1.20,12.29,N/A
CHRW,"C.H. Robinson Ww",Transportation,"Transportation - Services",NASDAQ,Yes,11942620,4192700,88.58,3.43,29.77,0.510
CHTR,"Charter Communicatio","Consumer Discretionary","Cable TV",NASDAQ,Yes,117321072,983000,572.58,10.70,54.55,N/A
CI,"Cigna Corp",Finance,"Insurance - Multi Line",NYSE,Yes,61810944,2154400,168.33,19.35,9.21,0.040
CIEN,"Ciena Corp","Computers and Technology","Fiber Optics",NYSE,Yes,5932061,1666500,38.44,2.60,15.21,N/A
CINF,"Cincinnati Financial",Finance,"Insurance - Proprty & Casualty",NASDAQ,Yes,11451040,1207700,71.17,3.59,25.47,0.600
CL,"Colgate-Palmolive Company","Consumer Staples","Soap and Cleaning Products",NYSE,Yes,65899764,4767300,76.86,2.93,26.91,0.440
CLGX,Corelogic,"Business Services",Consulting,NYSE,Yes,6059981,5669600,76.23,3.35,20.37,0.330
CLH,"Clean Harbors","Business Services","Waste Removal Svcs",NYSE,Yes,2968844,208800,53.36,1.94,28.80,N/A
CLR,"Continental Resources",Oils-Energy,"Oil - US Exploration & Product",NYSE,Yes,4421712,2733700,12.11,0.30,43.07,0.050
CLX,"Clorox Company","Consumer Staples","Soap and Cleaning Products",NYSE,Yes,26440050,1119000,209.88,7.35,29.14,1.110
CMA,"Comerica Inc",Finance,"Banks - Major Regional",NYSE,Yes,5863275,1463200,42.17,3.63,11.95,0.680
CMCSA,"Comcast Corp A","Consumer Discretionary","Cable TV",NASDAQ,Yes,191768880,20256100,41.98,2.98,14.58,0.230
CME,"CME Group Inc",Finance,"Securities Exchanges",NASDAQ,Yes,53636104,3241800,149.56,7.38,21.61,0.850
CMG,"Chipotle Mexican Grill",Retail-Wholesale,"Retail - Restaurants",NYSE,Yes,35059008,479400,1253.54,10.10,129.72,N/A
