# S&P 500 Index ($SPX) downloaded from https://www.barchart.com/stocks/quotes/$SPX on 2020/10/29
Symbol,Name,Sector,Industry,Exchange,Options,"Market Cap [$K]",Volume,Price,Earnings,Price/Earnings,Dividend
MNST,"Monster Beverage Cp","Consumer Staples","Beverages - Soft",NASDAQ,Yes,40804632,2172500,77.37,2.13,37.74,N/A
MO,"Altria Group","Consumer Staples",Tobacco,NYSE,Yes,68240336,12641100,36.72,4.28,8.68,0.860
MOS,"Mosaic Company","Basic Materials",Fertilizers,NYSE,Yes,6850156,3851100,18.07,-0.16,0.00,0.050
MPC,"Marathon Petroleum Corp",Oils-Energy,"Oil - Refining and Marketing",NYSE,Yes,17894112,8389000,27.50,1.70,16.58,0.580
MRK,"Merck & Company",Medical,"Large Cap Pharma",NYSE,Yes,192677584,8578100,76.18,5.54,13.52,0.610
MRO,"Marathon Oil Corp",Oils-Energy,"Oil - US Integrated",NYSE,Yes,3039340,35781500,3.85,-0.55,0.00,0.050
MS,"Morgan Stanley",Finance,"Finance - Investment Brokers",NYSE,Yes,75006520,13622800,47.57,5.82,8.35,0.350
MSCI,"MSCI Inc","Computers and Technology","Business Software Services",NYSE,Yes,28493452,621400,340.68,7.02,47.33,0.780
MSFT,"Microsoft Corp","Computers and Technology","Computer - Software",NASDAQ,Yes,1532833600,51195500,202.68,5.75,34.45,0.510
MSI,"Motorola Solutions","Computers and Technology","Wireless Equipment",NYSE,Yes,27928264,1116900,164.49,7.30,23.61,0.640
MTB,"M&T Bank Corp",Finance,"Banks - Major Regional",NYSE,Yes,12414936,995900,96.78,10.08,9.85,1.100
MTD,"Mettler-Toledo International","Computers and Technology","Industrial Scientific",NYSE,Yes,24128370,111400,1009.26,22.84,46.08,N/A
MU,"Micron Technology","Computers and Technology","Semi Memory",NASDAQ,Yes,55661100,15463700,50.00,2.56,20.30,0.050
MXIM,"Maxim Integrated","Computers and Technology","Semi Analog & Mixed",NASDAQ,Yes,18389236,2445400,68.77,2.27,28.63,0.480
MYL,"Mylan NV Ord Shs",Medical,"Medical - Generic Drugs",NASDAQ,Yes,7392343,4895600,14.30,4.58,3.16,0.060
